,director_name,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
551,David Silverman,299,87,183132370,Adventure,The Simpsons Movie ,259083,3086,763,English,USA,PG-13,7.50E+07,2007,7.4,2.35,0
552,Frank Darabont,128,152,27796042,Drama,The Majestic ,45031,4310,376,English,USA,PG,7.20E+07,2001,6.9,1.85,0
553,Renny Harlin,109,116,32616869,Action,Driven ,34435,14780,346,English,USA,PG-13,7.20E+07,2001,4.5,2.35,886
554,Jean-Jacques Annaud,88,109,18947630,Adventure,Two Brothers ,11798,55,124,English,France,PG,59660000,2004,7.1,2.35,2000
555,M. Night Shyamalan,261,108,114195633,Drama,The Village ,193770,7273,2003,English,USA,PG-13,6.00E+07,2004,6.5,1.85,0
556,Betty Thomas,73,85,144156464,Comedy,Doctor Dolittle ,74343,4166,98,English,USA,PG-13,71500000,1998,5.3,1.85,694
557,M. Night Shyamalan,208,106,227965690,Drama,Signs ,271592,1675,2335,English,USA,PG-13,7.20E+07,2002,6.7,1.85,0
558,Andrew Adamson,205,93,436471036,Adventure,Shrek 2 ,314630,1148,483,English,USA,PG,1.50E+08,2004,7.2,1.85,0
559,John Lasseter,256,117,244052771,Adventure,Cars ,263853,4905,584,English,USA,G,1.20E+08,2006,7.2,2.35,0
560,Garry Marshall,103,116,152149590,Comedy,Runaway Bride ,74274,12790,255,English,USA,PG,7.00E+07,1999,5.5,2.35,0
561,Rob Cohen,191,132,141204016,Action,xXx ,142569,14790,737,English,USA,PG-13,7.00E+07,2002,5.8,2.35,10000
562,Paul Tibbitt,147,92,162495848,Adventure,The SpongeBob Movie: Sponge Out of Water ,34359,5217,133,English,USA,PG,7.40E+07,2015,6,1.85,16000
563,Ron Howard,79,139,136448821,Crime,Ransom ,98989,3667,158,English,USA,R,8.00E+07,1996,6.6,1.85,1000
564,Quentin Tarantino,486,153,120523073,Adventure,Inglourious Basterds ,885175,36741,1527,English,USA,R,7.50E+07,2009,8.3,2.35,42000
565,Steven Spielberg,75,142,119654900,Adventure,Hook ,182802,64259,363,English,USA,PG,7.00E+07,1991,6.7,2.35,13000
566,Brett Ratner,245,101,72660029,Action,Hercules ,115687,16235,269,English,USA,PG-13,1.00E+08,2014,6,2.35,21000
567,Renny Harlin,142,124,117541000,Action,Die Hard 2 ,269858,16595,316,English,USA,R,7.00E+07,1990,7.1,2.35,0
568,Clark Johnson,144,117,116643346,Action,S.W.A.T. ,119807,14486,340,English,USA,PG-13,8.00E+07,2003,6,2.35,0
569,Cameron Crowe,153,141,100614858,Fantasy,Vanilla Sky ,206776,11458,1248,English,USA,R,6.80E+07,2001,6.9,1.85,0
570,M. Night Shyamalan,284,110,42272747,Drama,Lady in the Water ,78635,5609,1040,English,USA,PG-13,7.00E+07,2006,5.6,1.85,0
571,Paul W.S. Anderson,247,109,80281096,Action,AVP: Alien vs. Predator ,143628,3222,1283,English,USA,PG-13,6.00E+07,2004,5.6,2.35,0
572,Betty Thomas,107,88,219613391,Animation,Alvin and the Chipmunks: The Squeakquel ,31649,5227,98,English,USA,PG,7.50E+07,2009,4.5,1.85,2000
573,Randall Wallace,141,124,78120196,Action,We Were Soldiers ,103241,6181,742,English,USA,R,7.50E+07,2002,7.1,2.35,5000
574,Antoine Fuqua,358,119,98895417,Action,Olympus Has Fallen ,203154,31782,698,English,USA,R,7.00E+07,2013,6.5,2.35,45000
575,Jonathan Frakes,160,103,70117571,Action,Star Trek: Insurrection ,56741,6207,515,English,USA,PG,5.80E+07,1998,6.4,2.35,1000
576,Jonathan Liebesman,355,116,83552429,Action,Battle Los Angeles ,154955,4001,800,English,USA,PG-13,7.00E+07,2011,5.8,2.35,25000
577,Tim Burton,235,125,66257002,Adventure,Big Fish ,350698,16138,816,English,USA,PG-13,7.00E+07,2003,8,1.37,26000
578,Mike Nichols,59,125,65012000,Drama,Wolf ,43559,1439,137,English,USA,R,7.00E+07,1994,6.2,1.85,0
579,Steven Spielberg,388,146,79883359,Drama,War Horse ,116159,46726,488,English,USA,PG-13,6.60E+07,2011,7.2,2.35,28000
580,George Clooney,371,118,78031620,Drama,The Monuments Men ,102248,27674,403,English,USA,PG-13,7.00E+07,2014,6.1,2.35,34000
581,James Cameron,82,171,54222000,Adventure,The Abyss ,131217,4074,380,English,USA,PG-13,69500000,1989,7.6,2.35,0
582,Oliver Stone,297,136,52474616,Drama,Wall Street: Money Never Sleeps ,84118,1579,245,English,USA,PG-13,7.00E+07,2010,6.3,2.35,13000
583,Gary Shore,261,92,55942830,Action,Dracula Untold ,138582,5178,423,English,USA,PG-13,7.00E+07,2014,6.3,2.35,37000
584,Edward Zwick,120,116,40932372,Action,The Siege ,58023,32563,281,English,USA,R,7.00E+07,1998,6.3,2.35,0
585,Matthew Vaughn,228,127,38345403,Adventure,Stardust ,212085,16034,492,English,UK,PG-13,7.00E+07,2007,7.7,2.35,15000
586,Jean-Jacques Annaud,76,136,37901509,Adventure,Seven Years in Tibet ,96385,12226,119,English,USA,PG-13,7.00E+07,1997,7,2.35,0
587,Ron Howard,185,111,48430355,Comedy,The Dilemma ,43709,18510,141,English,USA,PG-13,7.00E+07,2011,5.3,2.35,0
588,Joel Schumacher,128,116,30157016,Action,Bad Company ,39659,12993,189,English,USA,PG-13,7.00E+07,2002,5.6,2.35,792
589,Andrzej Bartkowiak,237,113,28031250,Action,Doom ,88146,13517,814,English,UK,R,6.00E+07,2005,5.2,2.35,0
590,Betty Thomas,105,97,33105600,Action,I Spy ,41663,1576,141,English,USA,PG-13,7.00E+07,2002,5.4,1.37,531
591,Måns Mårlind,242,88,62321039,Action,Underworld: Awakening ,117096,5861,271,English,USA,R,7.00E+07,2012,6.4,2.35,24000
592,Adam Shankman,360,136,38509342,Comedy,Rock of Ages ,61995,712,356,English,USA,PG-13,7.50E+07,2012,5.9,2.35,33000
593,Gregory Hoblit,112,125,19076815,Drama,Hart's War ,43651,15916,196,English,USA,R,6.00E+07,2002,6.3,2.35,997
594,Gary McKendry,189,116,25093607,Action,Killer Elite ,105556,49608,157,English,UK,R,3.50E+07,2011,6.5,2.35,17000
595,John McTiernan,151,98,18990542,Action,Rollerball ,22264,2763,289,English,USA,R,7.00E+07,2002,3,2.35,584
596,Wych Kaosayananda,92,91,14294842,Action,Ballistic: Ecks vs. Sever ,16761,1846,277,English,USA,R,7.00E+07,2002,3.6,2.35,391
597,Mikael Salomon,79,97,19819494,Action,Hard Rain ,26893,13628,126,English,USA,R,7.00E+07,1998,5.8,2.35,815
598,Bobby Farrelly,81,95,13596911,Action,Osmosis Jones ,25572,3734,123,English,USA,PG,7.00E+07,2001,6.2,2.35,2000
599,Michael Mann,261,133,7097125,Action,Blackhat ,38983,28129,207,English,USA,R,7.00E+07,2015,5.4,2.35,11000
600,Kerry Conran,197,106,37760080,Action,Sky Captain and the World of Tomorrow ,72868,12871,618,English,USA,PG,7.00E+07,2004,6.1,1.85,0
601,Michael Caton-Jones,159,116,5851188,Crime,Basic Instinct 2 ,31124,1899,313,English,UK,R,7.00E+07,2006,4.2,2.35,764
602,Mikael Håfström,286,115,25121291,Action,Escape Plan ,177653,15708,279,English,USA,R,5.00E+07,2013,6.7,2.35,34000
603,Renny Harlin,156,99,18821279,Action,The Legend of Hercules ,44891,1520,202,English,USA,PG-13,7.00E+07,2014,4.2,2.35,12000
604,Phil Alden Robinson,176,124,118471320,Action,The Sum of All Fears ,86504,12556,568,English,USA,PG-13,6.80E+07,2002,6.4,2.35,0
605,David Slade,293,124,300523113,Adventure,The Twilight Saga: Eclipse ,184637,52547,498,English,USA,PG-13,6.80E+07,2010,4.9,2.35,29000
606,Frank Oz,141,124,71069884,Crime,The Score ,101899,32871,445,English,USA,R,6.80E+07,2001,6.8,2.35,0
607,Pierre Coffin,304,87,251501645,Animation,Despicable Me ,385943,11608,296,English,USA,PG,6.90E+07,2010,7.7,1.85,31000
608,Joseph Ruben,40,105,35324232,Action,Money Train ,32224,1132,62,English,USA,R,6.80E+07,1995,5.6,2.35,617
609,Seth MacFarlane,280,125,81257500,Comedy,Ted 2 ,117739,30010,229,English,USA,R,6.80E+07,2015,6.4,2.35,30000
610,Alejandro Amenábar,180,141,617840,Adventure,Agora ,52496,1829,172,English,Spain,R,7.00E+07,2009,7.2,2.35,29000
611,Kinka Usher,125,121,29655590,Action,Mystery Men ,53970,3986,435,English,USA,PG-13,6.50E+07,1999,6,1.85,0
612,Bobby Farrelly,237,111,45045037,Comedy,Hall Pass ,103230,3393,143,English,USA,R,3.60E+07,2011,5.9,2.35,10000
613,Michael Mann,209,157,28965197,Biography,The Insider ,133526,18216,521,English,USA,R,6.80E+07,1999,7.9,2.35,0
614,Ridley Scott,238,128,39380442,Action,Body of Lies ,174248,29824,263,English,USA,R,7.00E+07,2008,7.1,2.35,0
615,Timur Bekmambetov,393,105,37516013,Action,Abraham Lincoln: Vampire Hunter ,128629,8281,348,English,USA,R,6.90E+07,2012,5.9,2.35,98000
616,Jon Amiel,138,113,87704396,Action,Entrapment ,88132,1302,274,English,USA,PG-13,6.60E+07,1999,6.2,2.35,0
617,Rob Bowman,142,121,83892374,Drama,The X Files ,85720,4230,297,English,USA,PG-13,6.60E+07,1998,7,2.35,0
618,Doug Lefler,90,102,5932060,Action,The Last Legion ,29285,14625,174,English,UK,PG-13,3.50E+07,2007,5.4,2.35,0
619,Steven Spielberg,219,169,216119491,Action,Saving Private Ryan ,881236,44998,2277,English,USA,R,7.00E+07,1998,8.6,1.85,22000
620,Scott Waugh,327,132,43568507,Action,Need for Speed ,136954,7081,346,English,USA,PG-13,6.60E+07,2014,6.5,2.35,32000
621,Nancy Meyers,149,127,182805123,Comedy,What Women Want ,158864,5838,395,English,USA,PG-13,7.00E+07,2000,6.4,1.37,0
622,Chris Wedge,193,103,176387405,Adventure,Ice Age ,328159,5437,467,English,USA,PG,5.90E+07,2002,7.6,1.85,3000
623,Lawrence Kasdan,175,136,33685268,Drama,Dreamcatcher ,75573,12194,662,English,USA,R,6.80E+07,2003,5.5,2.35,4000
624,Steven Spielberg,538,150,182204440,Biography,Lincoln ,197412,25517,720,English,USA,PG-13,6.50E+07,2012,7.4,2.35,71000
625,Lana Wachowski,313,136,171383253,Action,The Matrix ,1217752,18563,3646,English,USA,R,6.30E+07,1999,8.7,2.35,25000
626,Ron Howard,159,140,172071312,Adventure,Apollo 13 ,208817,17171,296,English,USA,PG,6.20E+07,1995,7.6,2.35,5000
627,Paul Verhoeven,196,113,119412921,Action,Total Recall ,240241,1441,391,English,USA,R,6.50E+07,1990,7.5,1.85,0
628,Michael Lembeck,80,104,139225854,Comedy,The Santa Clause 2 ,34561,5265,116,English,USA,G,6.00E+07,2002,5.5,1.85,1000
629,Tom Hooper,488,158,148775460,Drama,Les Misérables ,243834,46204,845,English,USA,PG-13,6.10E+07,2012,7.6,1.85,144000
630,Nora Ephron,153,119,115731542,Comedy,You've Got Mail ,151812,17768,556,English,USA,PG,6.50E+07,1998,6.5,1.85,0
631,Adam McKay,173,106,100468793,Comedy,Step Brothers ,212499,11264,277,English,USA,R,6.50E+07,2008,6.9,2.35,0
632,Martin Campbell,156,136,93771072,Action,The Mask of Zorro ,135404,12396,318,English,USA,PG-13,6.50E+07,1998,6.7,2.35,0
633,Todd Phillips,307,95,100448498,Comedy,Due Date ,272789,23018,285,English,USA,R,6.50E+07,2010,6.6,2.35,25000
634,Angelina Jolie Pitt,322,137,115603980,Biography,Unbroken ,103589,2938,351,English,USA,PG-13,6.50E+07,2014,7.2,2.35,35000
635,Clint Eastwood,169,130,90454043,Action,Space Cowboys ,60165,17771,326,English,USA,PG-13,6.50E+07,2000,6.4,2.35,0
636,Renny Harlin,74,124,84049211,Action,Cliffhanger ,96096,15229,172,English,USA,R,7.00E+07,1993,6.4,2.35,0
637,John Woo,72,108,70450000,Action,Broken Arrow ,77390,2913,189,English,USA,R,5.00E+07,1996,6,2.35,0
638,Jon Turteltaub,86,104,69688384,Comedy,The Kid ,34473,16452,139,English,USA,PG,6.00E+07,2000,6.1,1.85,0
639,Oliver Stone,242,129,70236496,Drama,World Trade Center ,67395,14421,564,English,USA,PG-13,6.30E+07,2006,6,1.85,0
640,Mike Newell,141,117,63695760,Drama,Mona Lisa Smile ,61490,12850,264,English,USA,PG-13,6.50E+07,2003,6.4,1.85,0
641,Larry Charles,313,99,59617068,Comedy,The Dictator ,213863,1375,310,English,USA,R,6.50E+07,2012,6.4,2.35,59000
642,Stanley Kubrick,280,159,55637680,Drama,Eyes Wide Shut ,227071,11424,1500,English,UK,R,6.50E+07,1999,7.3,1.66,10000
643,Will Gluck,176,118,85911262,Comedy,Annie ,24735,4796,213,English,USA,PG,6.50E+07,2014,5.2,2.39,16000
644,Glenn Ficarra,279,105,53846915,Comedy,Focus ,149337,11943,221,English,USA,R,50100000,2015,6.6,1.85,23000
645,McG,241,103,54758461,Action,This Means War ,147641,29808,238,English,USA,PG-13,6.50E+07,2012,6.3,2.35,18000
646,David S. Goyer,185,122,52397389,Action,Blade: Trinity ,132954,19764,514,English,USA,R,6.50E+07,2004,5.9,2.35,0
647,Mike Nichols,117,143,38966057,Comedy,Primary Colors ,23940,1409,157,English,France,R,6.50E+07,1998,6.7,2.35,688
648,Paul W.S. Anderson,239,96,42345531,Action,Resident Evil: Retribution ,104831,17913,423,English,Germany,R,6.50E+07,2012,5.4,2.35,32000
649,Paul W.S. Anderson,230,111,36064910,Action,Death Race ,166610,28643,211,English,USA,R,4.50E+07,2008,6.4,2.35,0
650,Renny Harlin,94,121,33328051,Action,The Long Kiss Goodnight ,60508,1531,285,English,USA,R,6.50E+07,1996,6.7,2.35,4000
651,Taylor Hackford,134,135,32598931,Action,Proof of Life ,49300,1013,265,English,USA,R,6.50E+07,2000,6.2,2.35,892
652,Jon Favreau,136,101,28045540,Action,Zathura: A Space Adventure ,67707,32232,202,English,USA,PG,6.50E+07,2005,6.1,1.85,0
653,David Fincher,315,151,37023395,Drama,Fight Club ,1347461,13209,2968,English,USA,R,6.30E+07,1999,8.8,2.35,48000
654,McG,96,131,43532294,Drama,We Are Marshall ,46951,12088,175,English,USA,PG,6.50E+07,2006,7.1,2.35,0
655,Michael Lehmann,60,100,17218080,Action,Hudson Hawk ,43376,15944,249,English,USA,R,7.00E+07,1991,5.7,1.85,0
656,Nora Ephron,60,105,10014234,Comedy,Lucky Numbers ,8560,3580,69,English,France,R,6.50E+07,2000,5,1.85,177
657,Stuart Beattie,308,92,19059018,Action,"I, Frankenstein ",65709,3165,194,English,Australia,PG-13,6.50E+07,2014,5.1,2.35,15000
658,Roman Polanski,127,130,1987287,Crime,Oliver Twist ,25474,450,138,English,UK,PG-13,5.00E+07,2005,6.9,2.35,0
659,Rob Bowman,196,100,24407944,Action,Elektra ,71202,7048,380,English,Canada,PG-13,4.30E+07,2005,4.8,2.35,0
660,Frank Miller,339,102,13750556,Action,Sin City: A Dame to Kill For ,111102,49433,239,English,USA,R,6.50E+07,2014,6.5,1.85,32000
661,Sydney Pollack,96,133,31054924,Drama,Random Hearts ,17025,16710,290,English,USA,R,6.40E+07,1999,5.1,1.85,295
662,Baltasar Kormákur,361,121,43247140,Adventure,Everest ,134625,2131,265,English,UK,PG-13,5.50E+07,2015,7.1,2.35,40000
663,Tom Tykwer,226,147,2208939,Crime,Perfume: The Story of a Murderer ,190490,253,482,English,Germany,R,5.00E+07,2006,7.5,2.35,26000
664,Jay Roach,194,94,213079163,Action,Austin Powers in Goldmember ,162909,2725,795,English,USA,PG-13,6.30E+07,2002,6.2,2.35,0
665,David Bowers,138,94,19548064,Action,Astro Boy ,25681,23365,77,English,Hong Kong,PG,6.50E+07,2009,6.3,2.35,0
666,Steven Spielberg,308,127,356784000,Adventure,Jurassic Park ,613473,2129,895,English,USA,PG-13,6.30E+07,1993,8.1,1.85,19000
667,Lawrence Kasdan,40,212,25052000,Adventure,Wyatt Earp ,35314,5708,145,English,USA,PG-13,6.30E+07,1994,6.6,2.35,0
668,Phillip Noyce,42,141,122012710,Action,Clear and Present Danger ,69663,14178,133,English,USA,PG-13,6.20E+07,1994,6.9,2.35,0
669,Daniel Lee,68,103,72413,Action,Dragon Blade ,11584,58,86,Mandarin,China,R,6.50E+07,2015,6.1,2.35,0
670,Keenen Ivory Wayans,78,98,58255287,Comedy,Littleman ,39471,6334,187,English,USA,PG-13,6.40E+07,2006,4.3,1.85,0
671,Jonathan Mostow,178,116,77086030,Action,U-571 ,65297,14931,602,English,France,PG-13,6.20E+07,2000,6.6,2.35,0
672,Rob Reiner,75,114,6.50E+07,Comedy,The American President ,43027,2668,214,English,USA,PG-13,6.20E+07,1995,6.8,2.35,0
673,Marco Schnabel,150,87,32178777,Comedy,The Love Guru ,43300,6658,250,English,USA,PG-13,6.20E+07,2008,3.8,2.35,0
674,Demian Lichtenstein,113,125,15738632,Action,3000 Miles to Graceland ,38076,14536,399,English,USA,R,4.20E+07,2001,5.9,2.35,0
675,Quentin Tarantino,596,187,54116191,Crime,The Hateful Eight ,272839,49912,1018,English,USA,R,4.40E+07,2015,7.9,2.76,114000
676,Josh Gordon,191,93,118153533,Comedy,Blades of Glory ,129995,13232,246,English,USA,PG-13,6.10E+07,2007,6.3,1.85,0
677,Tim Hill,156,95,108012170,Adventure,Hop ,24089,2558,82,English,USA,PG,6.30E+07,2011,5.5,1.85,0
678,Zack Snyder,460,117,210592590,Action,300 ,607235,32360,2073,English,USA,R,6.50E+07,2006,7.7,2.35,13000
679,Jay Roach,141,106,279167575,Comedy,Meet the Fockers ,211296,24938,428,English,USA,PG-13,8.00E+07,2004,6.3,1.85,0
680,David Frankel,180,115,143151473,Comedy,Marley & Me ,116681,4811,320,English,USA,PG,6.00E+07,2008,7.1,2.35,11000
681,Frank Darabont,186,189,136801374,Crime,The Green Mile ,782610,17716,1377,English,USA,R,6.00E+07,1999,8.5,1.85,30000
682,Mark Dindal,161,81,135381507,Adventure,Chicken Little ,63912,2252,251,English,USA,G,1.50E+08,2005,5.8,1.85,912
683,David Fincher,568,149,167735396,Crime,Gone Girl ,569841,4348,1127,English,USA,R,6.10E+07,2014,8.1,2.35,146000
684,Doug Liman,249,119,121468960,Action,The Bourne Identity ,407601,13249,849,English,USA,PG-13,6.00E+07,2002,7.9,2.35,0
685,Martin Campbell,137,130,106635996,Action,GoldenEye ,199025,1784,416,English,UK,PG-13,5.80E+07,1995,7.2,2.35,0
686,Simon West,113,116,102678089,Drama,The General's Daughter ,42705,2321,274,English,USA,R,9.50E+07,1999,6.3,2.35,885
687,Peter Weir,213,103,125603360,Comedy,The Truman Show ,667983,3698,877,English,USA,PG,6.00E+07,1998,8.1,1.85,18000
688,Brenda Chapman,120,99,101217900,Adventure,The Prince of Egypt ,91093,1195,353,English,USA,PG,7.00E+07,1998,7,1.85,0
689,Steve Carr,81,92,104148781,Comedy,Daddy Day Care ,49486,4050,116,English,USA,PG,6.00E+07,2003,5.5,1.85,886
690,Baltasar Kormákur,265,109,75573300,Action,2 Guns ,156898,20148,172,English,USA,R,6.10E+07,2013,6.7,2.35,22000
691,Lawrence Guterman,105,87,93375151,Action,Cats & Dogs ,46031,4171,235,English,USA,PG,6.00E+07,2001,5.2,1.85,0
692,F. Gary Gray,155,111,106126012,Action,The Italian Job ,285623,35084,497,English,USA,PG-13,6.00E+07,2003,7,2.35,0
693,Marc Lawrence,118,101,93307796,Comedy,Two Weeks Notice ,85673,2636,269,English,USA,PG-13,6.00E+07,2002,6.1,1.85,0
694,Eric Darnell,131,83,90646554,Adventure,Antz ,124641,25788,289,English,USA,PG,1.05E+08,1998,6.6,1.85,0
695,Peter Billingsley,166,113,109176215,Comedy,Couples Retreat ,83506,8172,144,English,USA,PG-13,6.00E+07,2009,5.5,1.85,0
696,Tony Scott,60,107,82670733,Action,Days of Thunder ,60476,14006,97,English,USA,PG-13,6.00E+07,1990,5.9,2.35,0
697,Adam Shankman,77,94,82569532,Adventure,Cheaper by the Dozen 2 ,42737,20348,128,English,USA,PG,6.00E+07,2005,5.4,2.35,781
698,Wes Ball,249,132,81687587,Action,The Scorch Trials ,138246,2517,360,English,USA,PG-13,6.10E+07,2015,6.4,2.35,24000
699,Ryan Murphy,213,140,80574010,Drama,Eat Pray Love ,63493,20440,302,English,USA,PG-13,6.00E+07,2010,5.7,1.85,26000
700,Brett Ratner,121,125,75764085,Comedy,The Family Man ,85844,16646,322,English,USA,PG-13,6.00E+07,2000,6.7,2.35,0
701,Robert Schwentke,315,111,90356857,Action,RED ,238916,24928,328,English,USA,PG-13,5.80E+07,2010,7.1,2.35,32000
702,Oliver Stone,171,156,75530832,Drama,Any Given Sunday ,97047,20761,452,English,USA,R,5.50E+07,1999,6.8,2.35,0
703,Robert Redford,96,170,75370763,Drama,The Horse Whisperer ,32353,20683,263,English,USA,PG-13,6.00E+07,1998,6.5,1.85,0
704,Michael Mann,299,120,100003492,Crime,Collateral ,293662,13581,836,English,USA,R,6.50E+07,2004,7.6,2.35,0
705,Chuck Russell,167,100,90341670,Action,The Scorpion King ,102129,14611,432,English,USA,PG-13,6.00E+07,2002,5.5,2.35,0
706,Jay Russell,125,115,74540762,Action,Ladder 49 ,48753,4496,323,English,USA,PG-13,5.50E+07,2004,6.5,1.85,0
707,Christopher McQuarrie,387,130,80033643,Action,Jack Reacher ,226570,16385,448,English,USA,PG-13,6.00E+07,2012,7,2.35,38000
708,Renny Harlin,199,105,73648142,Action,Deep Blue Sea ,99043,3697,643,English,USA,R,6.00E+07,1999,5.8,2.35,0
709,Kenny Ortega,136,111,71844424,Documentary,This Is It ,33158,679,223,English,USA,PG,6.00E+07,2009,7.3,1.78,0
710,Steven Soderbergh,436,106,75638743,Drama,Contagion ,180479,13634,411,English,USA,PG-13,6.00E+07,2011,6.6,1.85,42000
711,David McNally,73,89,66734992,Action,Kangaroo Jack ,23476,1233,181,English,USA,PG,6.00E+07,2003,4.4,2.35,858
712,Henry Selick,310,100,75280058,Animation,Coraline ,143121,647,279,English,USA,PG,6.00E+07,2009,7.7,1.85,10000
713,M. Night Shyamalan,323,91,64505912,Sci-Fi,The Happening ,163130,13654,1264,English,USA,R,4.80E+07,2008,5,1.85,6000
714,Tony Scott,171,146,77862546,Action,Man on Fire ,266310,20454,690,English,USA,R,7.00E+07,2004,7.7,2.35,14000
715,Brian Robbins,76,98,61112916,Comedy,The Shaggy Dog ,14888,24664,83,English,USA,PG,5.00E+07,2006,4.4,2.35,747
716,Todd Phillips,173,101,88200225,Comedy,Starsky & Hutch ,120795,3943,308,English,USA,PG-13,6.00E+07,2004,6.1,2.35,0
717,Brian Levant,81,94,60573641,Comedy,Jingle All the Way ,68406,4530,162,English,USA,PG,6.00E+07,1996,5.4,1.85,0
718,Guillermo del Toro,242,132,59035104,Action,Hellboy ,244566,1112,597,English,USA,PG-13,6.60E+07,2004,6.8,1.85,0
719,Steven Zaillian,110,115,56702901,Drama,A Civil Action ,23302,4713,181,English,USA,PG-13,6.00E+07,1998,6.5,2.35,1000
720,Chris Butler,328,92,55994557,Adventure,ParaNorman ,72287,13597,176,English,USA,PG,6.00E+07,2012,7,2.35,12000
721,Michael Caton-Jones,83,124,54910560,Action,The Jackal ,88225,38227,227,English,USA,R,6.00E+07,1997,6.3,2.35,0
722,John Woo,196,119,53789313,Action,Paycheck ,89816,3637,347,English,USA,PG-13,6.00E+07,2003,6.3,2.35,0
723,Jon Avnet,34,124,51045801,Drama,Up Close & Personal ,11370,3653,54,English,USA,PG-13,6.00E+07,1996,6.1,1.85,829
724,Sam Fell,118,93,50818750,Adventure,The Tale of Despereaux ,31209,13403,106,English,UK,G,6.00E+07,2008,6.1,2.35,0
725,Kevin Donovan,81,98,50189179,Action,The Tuxedo ,61966,2018,207,English,USA,PG-13,6.00E+07,2002,5.3,1.85,797
726,Geoff Murphy,47,92,50024083,Action,Under Siege 2: Dark Territory ,35918,2318,126,English,USA,R,6.00E+07,1995,5.4,1.85,1000
727,Kenneth Branagh,313,105,50549107,Action,Jack Ryan: Shadow Recruit ,99035,1411,289,English,USA,PG-13,6.00E+07,2014,6.2,2.35,17000
728,David O. Russell,315,124,56443482,Biography,Joy ,75329,75793,256,English,USA,PG-13,6.00E+07,2015,6.6,1.85,24000
729,Babak Najafi,225,99,62401264,Action,London Has Fallen ,69484,20276,323,English,UK,R,6.00E+07,2016,5.9,2.35,28000
730,Jean-Pierre Jeunet,223,116,47748610,Action,Alien: Resurrection ,170179,3090,656,English,USA,R,7.50E+07,1997,6.3,2.35,0
731,Antoine Fuqua,198,124,46975183,Action,Shooter ,256213,1640,338,English,USA,R,6.10E+07,2007,7.2,2.35,0
732,Graham Annable,219,96,50807639,Adventure,The Boxtrolls ,40883,3151,122,English,USA,PG,6.00E+07,2014,6.8,1.85,11000
733,Griffin Dunne,92,104,46611204,Comedy,Practical Magic ,55749,4294,257,English,USA,PG-13,4.80E+07,1998,6.1,2.35,0
734,Phil Lord,435,100,257756197,Action,The Lego Movie ,246698,22128,471,English,Australia,PG,6.00E+07,2014,7.8,2.35,64000
735,John Pasquin,111,115,48472213,Action,Miss Congeniality 2: Armed and Fabulous ,51252,4305,156,English,USA,PG-13,4.50E+07,2005,5,2.35,621
736,Rob Bowman,138,101,43060566,Action,Reign of Fire ,107859,53024,569,English,USA,PG-13,6.00E+07,2002,6.2,2.35,0
737,Ruben Fleischer,415,113,45996718,Action,Gangster Squad ,173530,34738,264,English,USA,R,6.00E+07,2013,6.7,2.35,40000
738,Harold Ramis,170,100,43337279,Adventure,Year One ,76770,12258,203,English,USA,PG-13,6.00E+07,2009,4.9,1.85,0
739,Clint Eastwood,306,134,37479778,Biography,Invictus ,124222,24458,259,English,USA,PG-13,6.00E+07,2009,7.4,2.35,23000
740,Tony Gilroy,211,125,40559930,Comedy,Duplicity ,41727,10623,184,English,USA,PG-13,6.00E+07,2009,6.2,2.35,0
741,Donald Petrie,49,94,36830057,Comedy,My Favorite Martian ,10883,2151,73,English,USA,PG,6.50E+07,1999,4.9,1.85,448
742,Clark Johnson,161,107,36279230,Action,The Sentinel ,42144,1352,213,English,USA,PG-13,6.00E+07,2006,6.1,2.35,690
743,Jorge Blanco,156,91,42194060,Adventure,Planet 51 ,41259,22668,72,English,Spain,PG,7.00E+07,2009,6.1,2.35,0
744,Stuart Baird,172,116,43119879,Action,Star Trek: Nemesis ,58450,31224,842,English,USA,PG-13,6.00E+07,2002,6.4,2.35,0
745,Joel Coen,161,100,35096190,Comedy,Intolerable Cruelty ,76560,1395,322,English,USA,PG-13,6.00E+07,2003,6.3,1.85,0
746,Martin Campbell,258,117,43290977,Crime,Edge of Darkness ,75201,7053,256,English,UK,R,8.00E+07,2010,6.6,2.35,0
747,Peter Hyams,95,110,33927476,Horror,The Relic ,19176,1976,165,English,UK,R,4.00E+07,1997,5.7,2.35,956
748,Harold Ramis,105,96,32122249,Comedy,Analyze That ,69319,22889,138,English,USA,R,6.00E+07,2002,5.9,1.85,846
749,Jon Avnet,198,101,40076438,Action,Righteous Kill ,73368,38809,248,English,USA,R,6.00E+07,2008,6,2.35,0
750,Harold Becker,79,111,32940507,Action,Mercury Rising ,54314,16536,127,English,USA,R,6.00E+07,1998,6.1,2.35,0
751,Joe Wright,210,117,31670931,Biography,The Soloist ,44099,23745,143,English,UK,PG-13,6.00E+07,2009,6.7,2.35,0
752,Robert Redford,125,126,30695227,Drama,The Legend of Bagger Vance ,45296,34774,267,English,USA,PG-13,6.00E+07,2000,6.7,1.85,0
753,Cameron Crowe,149,152,32522352,Adventure,Almost Famous ,207287,36897,822,English,USA,R,6.00E+07,2000,7.9,1.85,15000
